FIPS_code,County,State,Lung_Cancer,PM2.5,Status_Variable,Land_EQI,Sociod_EQI,Built_EQI,LTD,Intercept,Slope,CLU50_1,PM10,SO2,NO2,O3,CO,CN,Disel,CS2,Air_EQI,Water_EQI,EQI,Status,LCI,UCI,Inter,Slp,control,treat,Local_Treat,AAC,RT
1001,Autauga,AL,73.9,12.06,1,-0.7065906,0.6704357,-0.4973013,4.79,42.94,2.6,1,15.07,10.6610884,123.6576482,522.38,4.463225,0.0548148,0.388556,8.08E-03,0.9553846,-1.109728,0,2,64.3,84.6,42.94,2.6,68.6143,73.4043,4.79,44,stable
1003,Baldwin,AL,68.4,11.12,1,-1.084299,0.5530728,0.4015849,3.68,40.54,2.76,2,19.99,17.1468468,247.7422527,540.79,12.8758331,0.0210685,0.4282781,1.09E-03,0.7179643,-0.5659107,0.2,2,63.9,73.1,40.54,2.76,66.0568,69.7357,3.6789,181,stable
1005,Barbour,AL,76.1,12.36,1,-1.28147,-1.236294,0.0488544,0.87,77.48,-0.11,3,15.77,23.2571184,183.1936244,896.42,19.6205387,0.0140271,0.1997246,5.13E-04,0.1310074,-0.9780902,-0.95,2,63.3,90.9,77.48,-0.11,75.7286,76.6,0.8714,26,stable
1007,Bibb Cou,AL,86.4,12.24,1,-0.8274103,-0.6000178,-1.290857,19.95,-6,7.64,4,14.92,7.6309534,127.7799355,563.48,2.9519756,0.0096129,0.2117407,2.25E-04,0.065289,-0.9681726,-1.09,2,71.2,104.1,-6,7.64,65.9182,85.8692,19.951,23,stable
1009,Blount C,AL,73.1,12.97,1,-0.6229339,0.2965088,-1.26274,19.95,37.83,3.36,5,17.9,8.9137954,95.198094,561.94,9.3622155,0.0221278,0.3000996,4.29E-04,0.4021944,-0.7186447,-0.51,2,64.5,82.6,37.83,3.36,69.95,76.9564,7.0064,54,stable
1011,Bullock,AL,72.4,12.16,1,-1.258014,-1.82397,-1.795921,7.01,32.46,3.89,6,15.95,21.0863998,172.5500068,652.28,15.3635966,0.0042061,0.1605301,7.28E-04,-0.3091858,-1.451335,-2.08,2,52.8,97.3,32.46,3.89,73.2059,76.5964,3.3905,9,stable
1013,Butler C,AL,58.5,11.66,1,-1.678537,-1.295534,-0.0580627,3.39,45.59,2.89,7,13.18,13.8314031,134.1369957,578.7,8.0189675,0.0181633,0.2068958,3.11E-04,-0.0704518,-1.528175,-1.3,2,46.5,72.9,45.59,2.89,74.3037,78.5905,4.2868,17,stable
1015,Calhoun,AL,79.6,13.15,1,-0.0666635,-0.3698209,0.4047821,7.33,49.65,2.36,8,16.17,22.162486,176.6921391,531.53,25.9995188,0.0381759,0.4997532,1.01E-03,1.027328,-0.9281401,0.17,2,73.1,86.5,49.65,2.36,71.4133,78.7419,7.3286,115,stable
1017,Chambers,AL,72.5,12.31,1,-0.2369899,-0.699318,-0.4082792,29,13.35,6.5,9,13.97,39.7951698,198.9621692,634.03,22.5771255,0.0295546,0.3186709,1.33E-03,0.6116033,-1.004405,-0.46,2,61.7,84.7,13.35,6.5,62.3762,91.3731,28.9969,34,falling
1019,Cherokee,AL,85.9,13.44,1,-0.1945019,-0.6738133,-0.6189157,15.03,29.37,4.74,10,16.78,34.6790939,221.7158688,838.14,80.696299,0.0144598,0.276152,3.34E-04,0.1769833,-0.9704146,-0.66,2,73.3,100.5,29.37,4.74,70.2909,85.3192,15.0283,35,stable
